Número por área,Área,Complexidade,Tarefa,Condição
0,Matemática,Alta,"36 sobre 48, é menor que  52 sobre 60",1
0,Matemática,Alta,"48 sobre 60, é menor que  66 sobre 72",1
0,Matemática,Alta,"36 sobre 48, é maior que 37 sobre 50",1
0,Matemática,Alta,"64 sobre 70, é menor que 61 sobre 73",0
0,Matemática,Alta,"44 sobre 60, é menor que 53 sobre 60",1
0,Matemática,Alta,"25 sobre 30, é menor que 20 sobre 30",0
0,Matemática,Alta,"48 sobre 64, é menor que 54 sobre 64",1
0,Matemática,Alta,"54 sobre 75, é menor que 51 sobre 78",0
0,Matemática,Alta,"39 sobre 52, é menor que 45 sobre 52",1
0,Matemática,Alta,"40 sobre 55, é menor que 36 sobre 50",0
0,Matemática,Alta,"42 sobre 70, é menor que 63 sobre 70",1
0,Matemática,Alta,"59 sobre 66, é maior que 49 sobre 66",1
0,Matemática,Alta,"33 sobre 42, é menor que 32 sobre 42",0
0,Matemática,Alta,"57 sobre 72, é maior que 60 sobre 80",1
0,Matemática,Alta,"50 sobre 70, é maior que 46 sobre 60",0
0,Matemática,Alta,"33 sobre 48, é maior que 46 sobre 64",0
0,Matemática,Alta,"47 sobre 58, é maior que 44 sobre 55",1
0,Matemática,Alta,"63 sobre 72, é maior que 51 sobre 63",1
0,Matemática,Alta,"54 sobre 77, é maior que 49 sobre 65",0
0,Matemática,Alta,"39 sobre 60, é maior que 51 sobre 66",0
0,Matemática,Alta,"61 sobre 74, é menor que 57 sobre 70",0
0,Matemática,Alta,"63 sobre 70, é menor que 75 sobre 82",1
0,Matemática,Alta,"64 sobre 78, é menor que 58 sobre 72",0
0,Matemática,Alta,"35 sobre 50, é maior que 42 sobre 60",0
0,Matemática,Alta,"42 sobre 60, é maior que 44 sobre 65",1
0,Matemática,Alta,"38 sobre 56, é maior que 50 sobre 70",0
0,Matemática,Alta,"33 sobre 45, é maior que 39 sobre 48",0
0,Matemática,Alta,"66 sobre 78, é maior que 60 sobre 74",1
0,Matemática,Alta,"48 sobre 66, é menor que 59 sobre 70",1
0,Matemática,Alta,"40 sobre 54, é menor que 45 sobre 62",0
0,Matemática,Alta,"66 sobre 74, é maior que 49 sobre 59",1
0,Matemática,Alta,"53 sobre 68, é maior que 59 sobre 72",0
0,Matemática,Alta,"62 sobre 71, é maior que 55 sobre 68",1
0,Matemática,Alta,"39 sobre 51, é maior que 72 sobre 100",1
0,Matemática,Alta,"51 sobre 78, é maior que 50 sobre 71",0
0,Matemática,Alta,"61 sobre 82, é maior que 58 sobre 80",1
0,Matemática,Alta,"66 sobre 72, é menor que 48 sobre 60",0
0,Matemática,Alta,"45 sobre 60, é menor que 36 sobre 60",0
0,Matemática,Alta,"46 sobre 63, é menor que 51 sobre 63",1
0,Matemática,Alta,"49 sobre 60, é maior que 45 sobre 72",1
0,Matemática,Alta,"63 sobre 88, é maior que 60 sobre 80",0
0,Matemática,Alta,"68 sobre 90, é maior que 53 sobre 77",1
0,Matemática,Alta,"33 sobre 40, é menor que 32 sobre 41",0
0,Matemática,Alta,"42 sobre 60, é maior que 49 sobre 62",0
0,Matemática,Alta,"72 sobre 76, é maior que 48 sobre 59",1
0,Matemática,Alta,"58 sobre 65, é maior que 42 sobre 49",1
0,Matemática,Alta,"51 sobre 62, é menor que 45 sobre 62",0
0,Matemática,Alta,"60 sobre 68, é maior que 55 sobre 68",1
0,Matemática,Alta,"42 sobre 56, é menor que 49 sobre 56",1
0,Matemática,Alta,"53 sobre 60, é menor que 45 sobre 60",0
0,Matemática,Alta,"56 sobre 70, é maior que 48 sobre 70",1
0,Matemática,Alta,"50 sobre 62, é maior que 49 sobre 62",1
0,Matemática,Alta,"31 sobre 40, é menor que 28 sobre 40",0
0,Matemática,Alta,"57 sobre 64, é maior que 52 sobre 64",1
0,Matemática,Alta,"33 sobre 44, é menor que 40 sobre 44",1
0,Matemática,Alta,"40 sobre 48, é maior que 38 sobre 40",0
0,Matemática,Alta,"45 sobre 60, é menor que 50 sobre 66",1
0,Matemática,Alta,"48 sobre 60, é menor que 39 sobre 70",0
0,Matemática,Alta,"38 sobre 50, é menor que 42 sobre 55",1
0,Matemática,Alta,"33 sobre 44, é menor que 41 sobre 54",1
0,Matemática,Alta,"56 sobre 72, é menor que 45 sobre 68",0
0,Matemática,Alta,"49 sobre 65, é maior que 40 sobre 60",1
0,Matemática,Alta,"59 sobre 70, é menor que 52 sobre 70",0
0,Matemática,Alta,"50 sobre 66, é menor que 42 sobre 70",0
0,Matemática,Alta,"41 sobre 60, é menor que 40 sobre 65",0
0,Matemática,Alta,"53 sobre 70, é maior que 45 sobre 66",1
0,Matemática,Alta,"39 sobre 55, é maior que 42 sobre 55",0
0,Matemática,Alta,"43 sobre 64, é menor que 39 sobre 66",0
0,Matemática,Alta,"39 sobre 52, é menor que 55 sobre 70",1
0,Matemática,Alta,"39 sobre 52, é menor que 55 sobre 70",1
0,Matemática,Alta,"34 sobre 44, é menor que 38 sobre 50",0
0,Matemática,Alta,"63 sobre 70, é menor que 58 sobre 66",0
0,Matemática,Alta,"52 sobre 68, é menor que 58 sobre 70",1
0,Matemática,Alta,"33 sobre 45, é maior que 28 sobre 40",1
0,Matemática,Alta,"41 sobre 60, é maior que 38 sobre 58",1
0,Matemática,Alta,"54 sobre 66, é menor que 45 sobre 55",0
0,Matemática,Alta,"59 sobre 80, é maior que 57 sobre 76",0
0,Matemática,Alta,"50 sobre 65, é maior que 49 sobre 64",1
0,Matemática,Alta,"46 sobre 70, é menor que 45 sobre 60",1
0,Matemática,Alta,"36 sobre 52, é maior que 30 sobre 48",1
0,Matemática,Alta,"60 sobre 80, é maior que 45 sobre 50",0
0,Matemática,Alta,"55 sobre 66, é menor que 52 sobre 60",1
0,Matemática,Alta,"40 sobre 60, é maior que 32 sobre 64",1
0,Matemática,Alta,"53 sobre 72, é maior que 60 sobre 80",0
0,Matemática,Alta,"38 sobre 70, é maior que 41 sobre 80",1
0,Matemática,Alta,"65 sobre 75, é menor que 64 sobre 76",0
0,Matemática,Alta,"42 sobre 63, é menor que 50 sobre 70",1
0,Matemática,Alta,"30 sobre 36, é menor que 28 sobre 36",0
0,Matemática,Alta,"44 sobre 55, é maior que 39 sobre 50",1
0,Matemática,Alta,"48 sobre 66, é maior que 53 sobre 66",0
0,Matemática,Alta,"51 sobre 68, é menor que 56 sobre 74",1
0,Matemática,Alta,"62 sobre 70, é maior que 55 sobre 66",1
0,Matemática,Alta,"33 sobre 50, é maior que 29 sobre 40",0
0,Matemática,Alta,"50 sobre 62, é menor que 52 sobre 66",0
0,Matemática,Alta,"29 sobre 40, é menor que 38 sobre 52",1
0,Matemática,Alta,"42 sobre 70, é menor que 39 sobre 66",0
0,Matemática,Alta,"60 sobre 72, é menor que 50 sobre 65",0
0,Matemática,Alta,"46 sobre 50, é menor que 41 sobre 45",0
0,Matemática,Alta,"48 sobre 70, é maior que 39 sobre 60",1
0,Matemática,Alta,"52 sobre 64, é maior que 50 sobre 60",0