path,answer,duration,subject
patients\2\block_01\questions\145_high_complexity_biology_false.wav,0,3.8513333333333333,biology
patients\2\block_01\questions\115_high_complexity_chemistry_false.wav,0,6.955333333333333,chemistry
patients\2\block_01\questions\166_high_complexity_physics_true.wav,1,5.195333333333333,physics
patients\2\block_01\questions\128_high_complexity_biology_true.wav,1,6.400666666666667,biology
patients\2\block_01\questions\088_high_complexity_chemistry_true.wav,1,5.334,chemistry
patients\2\block_01\questions\176_high_complexity_physics_true.wav,1,5.43,physics
patients\2\block_01\questions\135_high_complexity_biology_true.wav,1,6.539333333333333,biology
patients\2\block_01\questions\109_high_complexity_chemistry_false.wav,0,3.574,chemistry
patients\2\block_01\questions\199_high_complexity_physics_false.wav,0,5.654,physics
patients\2\block_01\questions\139_high_complexity_biology_true.wav,1,5.376666666666667,biology
patients\2\block_01\questions\107_high_complexity_chemistry_false.wav,0,5.515333333333333,chemistry
patients\2\block_01\questions\190_high_complexity_physics_false.wav,0,3.4246666666666665,physics
patients\2\block_01\questions\126_high_complexity_biology_true.wav,1,5.056666666666667,biology
patients\2\block_01\questions\120_high_complexity_chemistry_false.wav,0,4.171333333333333,chemistry
patients\2\block_01\questions\183_high_complexity_physics_false.wav,0,3.6166666666666667,physics
patients\2\block_01\questions\133_high_complexity_biology_true.wav,1,6.592666666666666,biology
patients\2\block_01\questions\106_high_complexity_chemistry_false.wav,0,5.376666666666667,chemistry
patients\2\block_01\questions\198_high_complexity_physics_false.wav,0,4.726,physics
patients\2\block_01\questions\127_high_complexity_biology_true.wav,1,4.822,biology
patients\2\block_01\questions\085_high_complexity_chemistry_true.wav,1,5.6113333333333335,chemistry
patients\2\block_01\questions\170_high_complexity_physics_true.wav,1,5.803333333333334,physics
patients\2\block_01\questions\158_high_complexity_biology_false.wav,0,4.779333333333334,biology
patients\2\block_01\questions\089_high_complexity_chemistry_true.wav,1,5.803333333333334,chemistry
patients\2\block_01\questions\167_high_complexity_physics_true.wav,1,4.8646666666666665,physics
patients\2\block_01\questions\131_high_complexity_biology_true.wav,1,5.984666666666667,biology
patients\2\block_01\questions\117_high_complexity_chemistry_false.wav,0,4.544666666666667,chemistry
patients\2\block_01\questions\165_high_complexity_physics_true.wav,1,5.515333333333333,physics
patients\2\block_01\questions\129_high_complexity_biology_true.wav,1,5.195333333333333,biology
patients\2\block_01\questions\099_high_complexity_chemistry_true.wav,1,7.424666666666667,chemistry
patients\2\block_01\questions\161_high_complexity_physics_true.wav,1,3.9366666666666665,physics
patients\2\block_01\questions\159_high_complexity_biology_false.wav,0,5.515333333333333,biology
patients\2\block_01\questions\091_high_complexity_chemistry_true.wav,1,5.75,chemistry
patients\2\block_01\questions\182_high_complexity_physics_false.wav,0,5.099333333333333,physics
patients\2\block_01\questions\124_high_complexity_biology_true.wav,1,5.238,biology
patients\2\block_01\questions\101_high_complexity_chemistry_false.wav,0,5.472666666666667,chemistry
patients\2\block_01\questions\194_high_complexity_physics_false.wav,0,4.171333333333333,physics
patients\2\block_01\questions\147_high_complexity_biology_false.wav,0,4.5873333333333335,biology
patients\2\block_01\questions\093_high_complexity_chemistry_true.wav,1,6.166,chemistry
patients\2\block_01\questions\196_high_complexity_physics_false.wav,0,5.291333333333333,physics
patients\2\block_01\questions\160_high_complexity_biology_false.wav,0,4.31,biology
patients\2\block_01\questions\103_high_complexity_chemistry_false.wav,0,5.014,chemistry
patients\2\block_01\questions\178_high_complexity_physics_true.wav,1,5.846,physics
patients\2\block_01\questions\125_high_complexity_biology_true.wav,1,5.942,biology
patients\2\block_01\questions\112_high_complexity_chemistry_false.wav,0,5.291333333333333,chemistry
patients\2\block_01\questions\191_high_complexity_physics_false.wav,0,4.032666666666667,physics
patients\2\block_01\questions\137_high_complexity_biology_true.wav,1,5.6113333333333335,biology
patients\2\block_01\questions\083_high_complexity_chemistry_true.wav,1,4.171333333333333,chemistry
patients\2\block_01\questions\187_high_complexity_physics_false.wav,0,4.075333333333333,physics
patients\2\block_01\questions\146_high_complexity_biology_false.wav,0,3.894,biology
patients\2\block_01\questions\100_high_complexity_chemistry_true.wav,1,5.8886666666666665,chemistry
patients\2\block_01\questions\186_high_complexity_physics_false.wav,0,3.9366666666666665,physics
patients\2\block_01\questions\152_high_complexity_biology_false.wav,0,5.238,biology
patients\2\block_01\questions\108_high_complexity_chemistry_false.wav,0,5.195333333333333,chemistry
patients\2\block_01\questions\174_high_complexity_physics_true.wav,1,4.502,physics
patients\2\block_01\questions\155_high_complexity_biology_false.wav,0,2.966,biology
patients\2\block_01\questions\081_high_complexity_chemistry_true.wav,1,7.094,chemistry
patients\2\block_01\questions\169_high_complexity_physics_true.wav,1,4.032666666666667,physics
patients\2\block_01\questions\151_high_complexity_biology_false.wav,0,4.224666666666667,biology
patients\2\block_01\questions\114_high_complexity_chemistry_false.wav,0,4.960666666666667,chemistry
patients\2\block_01\questions\171_high_complexity_physics_true.wav,1,5.056666666666667,physics
patients\2\block_01\questions\149_high_complexity_biology_false.wav,0,6.262,biology
patients\2\block_01\questions\110_high_complexity_chemistry_false.wav,0,4.267333333333333,chemistry
patients\2\block_01\questions\163_high_complexity_physics_true.wav,1,3.382,physics
patients\2\block_01\questions\138_high_complexity_biology_true.wav,1,5.803333333333334,biology
patients\2\block_01\questions\097_high_complexity_chemistry_true.wav,1,3.99,chemistry
patients\2\block_01\questions\192_high_complexity_physics_false.wav,0,4.960666666666667,physics
patients\2\block_01\questions\154_high_complexity_biology_false.wav,0,4.726,biology
patients\2\block_01\questions\092_high_complexity_chemistry_true.wav,1,5.099333333333333,chemistry
patients\2\block_01\questions\184_high_complexity_physics_false.wav,0,3.894,physics
patients\2\block_01\questions\142_high_complexity_biology_false.wav,0,5.099333333333333,biology
patients\2\block_01\questions\119_high_complexity_chemistry_false.wav,0,5.014,chemistry
patients\2\block_01\questions\168_high_complexity_physics_true.wav,1,3.798,physics
